id,name,urban_area,state_code,state,postcode,type,latitude,longitude,elevation,population,median_income,area_sq_km,local_government_area,region,time_zone
1,Aarons Pass,,NSW,New South Wales,2850,Rural locality,-32.86328,149.80375,804,33,46124,82.76400,Mid-Western Regional,Central West,Australia/Sydney
2,Abba River,,WA,Western Australia,6280,Rural locality,-33.68488,115.46334,23,83,46020,28.51600,Busselton,Bunbury,Australia/Perth
3,Abbey,Busselton,WA,Western Australia,6280,Suburb,-33.66077,115.25863,7,1321,43524,2.64400,Busselton,Bunbury,Australia/Perth
4,Abbeyard,,VIC,Victoria,3737,Rural locality,-36.96978,146.75244,415,4,4758000,327.50100,Alpine,Hume,Australia/Melbourne
5,Abbeywood,,QLD,Queensland,4613,Rural locality,-26.10688,151.62880,429,38,24648,35.03500,South Burnett,Wide Bay,Australia/Brisbane
6,Abbotsbury,Sydney,NSW,New South Wales,2176,Suburb,-33.87754,150.86777,80,4200,43992,4.97900,Fairfield,Sydney - South West,Australia/Sydney
7,Abbotsford,Sydney,NSW,New South Wales,2046,Suburb,-33.85247,151.12945,24,5431,61308,1.01800,Canada Bay,Sydney - Inner West,Australia/Sydney
8,Abbotsford,,QLD,Queensland,4670,Rural locality,-24.84369,152.02491,75,20,18148,85.76400,Bundaberg,Wide Bay,Australia/Brisbane
9,Abbotsford,Melbourne,VIC,Victoria,3067,Suburb,-37.80329,145.00043,25,9088,70408,1.74100,Yarra,Melbourne - Inner,Australia/Melbourne
10,Abbotsham,,TAS,Tasmania,7315,Rural locality,-41.21131,146.17558,102,89,39624,8.15500,Central Coast,West and North West,Australia/Hobart
11,Abels Bay,,TAS,Tasmania,7112,Rural locality,-43.23333,147.09803,21,127,23088,5.21100,Huon Valley,South East,Australia/Hobart
12,Abercorn,,QLD,Queensland,4627,Rural locality,-25.13664,151.12935,200,41,27300,94.27300,North Burnett,Wide Bay,Australia/Brisbane
13,Abercrombie,Bathurst,NSW,New South Wales,2795,Suburb,-33.38996,149.55047,661,1127,53508,2.97800,Bathurst Regional,Central West,Australia/Sydney
14,Abercrombie River,,NSW,New South Wales,2795,Rural locality,-33.91055,149.34763,757,21,28600,127.17000,Bathurst Regional,Central West,Australia/Sydney
15,Aberdare,Cessnock,NSW,New South Wales,2325,Suburb,-32.84420,151.37651,95,2542,33280,3.29600,Cessnock,Hunter Valley exc Newcastle,Australia/Sydney
16,Aberdeen,,NSW,New South Wales,2336,Urban locality,-32.16240,150.89012,178,2051,37232,41.63300,Upper Hunter Shire,Hunter Valley exc Newcastle,Australia/Sydney
17,Aberdeen,,TAS,Tasmania,7310,Rural locality,-41.24112,146.32449,108,268,37908,4.22900,Devonport,West and North West,Australia/Hobart
18,Aberfeldie,Melbourne,VIC,Victoria,3040,Suburb,-37.75669,144.89626,44,3925,54756,1.55200,Moonee Valley,Melbourne - Inner,Australia/Melbourne
19,Aberfeldy,,VIC,Victoria,3825,Rural locality,-37.69657,146.36406,1076,7,49348,10.83200,Baw Baw,Latrobe - Gippsland,Australia/Melbourne
20,Aberfoyle,,NSW,New South Wales,2350,Rural locality,-30.24061,152.01293,1152,121,54132,340.47900,Armidale Regional,New England and North West,Australia/Sydney
21,Aberfoyle Park,Adelaide,SA,South Australia,5159,Suburb,-35.07628,138.59372,187,11234,40716,5.84400,Onkaparinga,Adelaide - South,Australia/Adelaide
22,Aberglasslyn,Maitland,NSW,New South Wales,2320,Suburb,-32.69466,151.53461,39,6552,45812,6.21500,Maitland,Hunter Valley exc Newcastle,Australia/Sydney
23,Abergowrie,,QLD,Queensland,4850,Rural locality,-18.47499,145.88579,53,305,42328,306.26500,Hinchinbrook,Townsville,Australia/Brisbane
24,Abermain,Kurri Kurri,NSW,New South Wales,2326,Suburb,-32.81082,151.42867,34,2544,34684,15.38200,Cessnock,Hunter Valley exc Newcastle,Australia/Sydney
25,Abernethy,,NSW,New South Wales,2325,Urban locality,-32.88324,151.39668,91,317,38324,8.40300,Cessnock,Hunter Valley exc Newcastle,Australia/Sydney
26,Abingdon Downs,,QLD,Queensland,4892,Rural locality,-17.79980,143.43956,255,17,67184,5052.02800,Etheridge,Queensland - Outback,Australia/Brisbane
27,Abington,,NSW,New South Wales,2350,Rural locality,-30.29421,151.25027,740,29,55900,174.31400,Uralla,New England and North West,Australia/Sydney
28,Abington,,QLD,Queensland,4660,Rural locality,-25.20324,152.32893,61,60,31512,19.56500,Bundaberg,Wide Bay,Australia/Brisbane
29,Acacia Creek,,NSW,New South Wales,2476,Rural locality,-28.37333,152.32088,607,30,29900,6.26100,Tenterfield,New England and North West,Australia/Sydney
30,Acacia Gardens,Sydney,NSW,New South Wales,2763,Suburb,-33.73355,150.91371,87,3668,54860,1.00100,Blacktown,Sydney - Blacktown,Australia/Sydney
31,Acacia Hills,,NT,Northern Territory,0822,Rural locality,-12.79565,131.12295,38,711,56004,127.30900,Litchfield,Darwin,Australia/Darwin
32,Acacia Hills,,TAS,Tasmania,7306,Rural locality,-41.28049,146.32495,143,729,42432,19.25700,Kentish,West and North West,Australia/Hobart
33,Acacia Ridge,Brisbane,QLD,Queensland,4110,Suburb,-27.58963,153.02787,39,7486,32656,8.68800,Brisbane,Brisbane - South,Australia/Brisbane
34,Acheron,,VIC,Victoria,3714,Rural locality,-37.25243,145.70202,202,146,40716,72.66000,Murrindindi,Hume,Australia/Melbourne
35,Acland,,QLD,Queensland,4401,Rural locality,-27.30370,151.69110,444,3,11700,38.17900,Toowoomba,Darling Downs - Maranoa,Australia/Brisbane
36,Acton,Canberra,ACT,Australian Capital Territory,2601,Suburb,-35.28732,149.11213,556,2848,13364,5.98900,Unincorporated,Australian Capital Territory,Australia/Sydney
37,Acton,Burnie - Somerset,TAS,Tasmania,7320,Suburb,-41.07007,145.89399,152,1377,32500,0.95400,Burnie,West and North West,Australia/Hobart
38,Acton Park,Hobart,TAS,Tasmania,7170,Suburb,-42.86574,147.46989,103,2293,55016,19.19900,Clarence,Hobart,Australia/Hobart
39,Acton Park,,WA,Western Australia,6280,Rural locality,-33.77704,115.37437,53,92,38012,24.85400,Busselton,Bunbury,Australia/Perth
40,Ada,,VIC,Victoria,3833,Rural locality,-37.84087,145.84969,669,0,0,61.67000,Baw Baw,Latrobe - Gippsland,Australia/Melbourne
41,Adaminaby,,NSW,New South Wales,2629,Urban locality,-35.99735,148.76974,1022,339,30576,356.49600,Snowy Monaro Regional,Capital Region,Australia/Sydney
42,Adams Estate,,VIC,Victoria,3984,Rural locality,-38.42519,145.53186,83,83,31148,0.21500,Bass Coast,Latrobe - Gippsland,Australia/Melbourne
43,Adamstown,Newcastle,NSW,New South Wales,2289,Suburb,-32.93254,151.72625,25,6335,48100,3.05100,Newcastle,Newcastle and Lake Macquarie,Australia/Sydney
44,Adamstown Heights,Newcastle,NSW,New South Wales,2289,Suburb,-32.95098,151.71770,97,5621,51116,2.39400,Newcastle,Newcastle and Lake Macquarie,Australia/Sydney
45,Adamsvale,,WA,Western Australia,6375,Rural locality,-32.24941,117.72485,298,41,61048,246.52000,Corrigin,Western Australia - Wheat Belt,Australia/Perth
46,Adare,,QLD,Queensland,4343,Rural locality,-27.52154,152.28656,122,1027,34268,39.04900,Lockyer Valley,Toowoomba,Australia/Brisbane
47,Adavale,,QLD,Queensland,4474,Rural locality,-25.91190,144.70107,285,72,27248,21354.75700,Quilpie,Queensland - Outback,Australia/Brisbane
48,Addington,,VIC,Victoria,3352,Rural locality,-37.38446,143.67251,464,65,25116,18.59600,Ballarat,Ballarat,Australia/Melbourne
49,Adelaide,,SA,South Australia,5000,Major urban locality,-34.92577,138.59973,75,18202,37752,10.48200,Adelaide,Adelaide - Central and Hills,Australia/Adelaide
50,Adelaide Airport,Adelaide,SA,South Australia,5950,Suburb,-34.93726,138.53916,11,4,4810000,7.29500,West Torrens,Adelaide - West,Australia/Adelaide
51,Adelaide Lead,,VIC,Victoria,3465,Rural locality,-37.07467,143.67736,235,85,25636,38.50300,Central Goldfields,Ballarat,Australia/Melbourne
52,Adelaide Park,,QLD,Queensland,4703,Rural locality,-23.11468,150.69673,63,449,44096,24.13900,Livingstone,Central Queensland,Australia/Brisbane
53,Adelaide River,,NT,Northern Territory,0846,Rural locality,-13.19095,131.13760,45,317,30316,146.73800,Coomalie,Northern Territory - Outback,Australia/Darwin
54,Adelong,,NSW,New South Wales,2729,Urban locality,-35.30795,148.06368,338,938,31148,20.27000,Snowy Valleys,Riverina,Australia/Sydney
55,Adjungbilly,,NSW,New South Wales,2727,Rural locality,-35.08146,148.40992,513,101,54600,438.10100,Cootamundra-Gundagai Regional,Riverina,Australia/Sydney
56,Advancetown,,QLD,Queensland,4211,Rural locality,-28.03305,153.27963,55,528,45344,63.55300,Gold Coast,Gold Coast,Australia/Brisbane
57,Adventure Bay,,TAS,Tasmania,7150,Rural locality,-43.35579,147.32612,16,218,29068,11.42700,Kingborough,South East,Australia/Hobart
58,Aeroglen,Cairns,QLD,Queensland,4870,Suburb,-16.88394,145.74673,6,405,46956,9.86400,Cairns,Cairns,Australia/Brisbane
59,Afterlee,,NSW,New South Wales,2474,Rural locality,-28.59388,152.82575,238,32,30992,34.78400,Kyogle,Richmond - Tweed,Australia/Sydney
60,Agery,,SA,South Australia,5558,Rural locality,-34.15690,137.74281,105,90,43940,159.28800,Yorke Peninsula,Barossa - Yorke - Mid North,Australia/Adelaide
61,Agnes,,VIC,Victoria,3962,Rural locality,-38.67015,146.39615,21,61,22620,15.71700,South Gippsland,Latrobe - Gippsland,Australia/Melbourne
62,Agnes Banks,,NSW,New South Wales,2753,Rural locality,-33.61888,150.70737,27,996,49556,15.47500,Penrith,Sydney - Outer West and Blue Mountains,Australia/Sydney
63,Agnes Water,,QLD,Queensland,4677,Urban locality,-24.21251,151.90335,25,2729,30108,40.26200,Gladstone,Central Queensland,Australia/Brisbane
64,Ainslie,Canberra,ACT,Australian Capital Territory,2602,Suburb,-35.26215,149.14589,593,5376,64272,3.54100,Unincorporated,Australian Capital Territory,Australia/Sydney
65,Aintree,,VIC,Victoria,3336,Rural locality,-37.71721,144.66366,126,7982,50960,6.73000,Melton,Melbourne - West,Australia/Melbourne
66,Airdmillan,,QLD,Queensland,4807,Rural locality,-19.54686,147.44370,11,154,49816,57.42900,Burdekin,Townsville,Australia/Brisbane
67,Airds,Sydney,NSW,New South Wales,2560,Suburb,-34.08447,150.82904,139,3265,23452,2.38100,Campbelltown,Sydney - Outer South West,Australia/Sydney
68,Aire Valley,,VIC,Victoria,3237,Rural locality,-38.69611,143.56898,399,0,0,16.23800,Colac Otway,Warrnambool and South West,Australia/Melbourne
69,Aireys Inlet,,VIC,Victoria,3231,Urban locality,-38.45944,144.10689,51,979,46540,19.61400,Surf Coast,Geelong,Australia/Melbourne
70,Airlie Beach,,QLD,Queensland,4802,Urban locality,-20.26787,148.71622,13,1312,48464,3.05300,Whitsunday,Mackay - Isaac - Whitsunday,Australia/Brisbane
71,Airly,,VIC,Victoria,3851,Rural locality,-38.03555,147.08440,14,160,39936,25.16600,Wellington,Latrobe - Gippsland,Australia/Melbourne
72,Airport West,Melbourne,VIC,Victoria,3042,Suburb,-37.71170,144.88704,89,8173,45916,3.67500,Moonee Valley,Melbourne - North West,Australia/Melbourne
73,Airville,,QLD,Queensland,4807,Rural locality,-19.65354,147.33726,19,308,46800,43.90900,Burdekin,Townsville,Australia/Brisbane
74,Aitkenvale,Townsville,QLD,Queensland,4814,Suburb,-19.29771,146.76434,14,4797,38480,3.30700,Townsville,Townsville,Australia/Brisbane
75,Ajana,,WA,Western Australia,6532,Rural locality,-27.94861,114.61132,213,51,27300,727.82400,Northampton,Western Australia - Outback (South),Australia/Perth
76,Akaroa,,TAS,Tasmania,7216,Urban locality,-41.30452,148.31671,8,130,28600,5.46300,Break O'Day,Launceston and North East,Australia/Hobart
77,Akolele,,NSW,New South Wales,2546,Urban locality,-36.35580,150.07685,30,165,22620,5.95000,Eurobodalla,Capital Region,Australia/Sydney
78,Alabama Hill,Charters Towers,QLD,Queensland,4820,Suburb,-20.08292,146.24937,356,103,35100,0.78400,Charters Towers,Townsville,Australia/Brisbane
79,Alawa,Darwin,NT,Northern Territory,0810,Suburb,-12.37896,130.87423,21,2078,47580,1.24000,Darwin,Darwin,Australia/Darwin
80,Alawoona,,SA,South Australia,5311,Rural locality,-34.73589,140.50879,74,25,25428,201.45600,Loxton Waikerie,South Australia - South East,Australia/Adelaide
81,Albacutya,,VIC,Victoria,3424,Rural locality,-35.69201,141.97654,85,0,0,98.51900,Hindmarsh,North West,Australia/Melbourne
82,Albanvale,Melbourne,VIC,Victoria,3021,Suburb,-37.74593,144.77003,74,5641,25376,1.86300,Brimbank,Melbourne - West,Australia/Melbourne
83,Albany,,WA,Western Australia,6330,Major urban locality,-35.02387,117.88354,25,1403,45916,1.96100,Albany,Western Australia - Wheat Belt,Australia/Perth
84,Albany Creek,Brisbane,QLD,Queensland,4035,Suburb,-27.34553,152.96840,21,16385,49608,9.62400,Moreton Bay,Moreton Bay - South,Australia/Brisbane
85,Albert,,NSW,New South Wales,2873,Rural locality,-32.41586,147.50811,249,77,31824,690.58000,Lachlan,Central West,Australia/Sydney
86,Alberta,,QLD,Queensland,4702,Rural locality,-24.32548,149.78253,97,36,45760,385.43400,Banana,Central Queensland,Australia/Brisbane
87,Alberton,,QLD,Queensland,4207,Rural locality,-27.70787,153.26916,6,547,38636,16.19900,Gold Coast,Gold Coast,Australia/Brisbane
88,Alberton,Adelaide,SA,South Australia,5014,Suburb,-34.85922,138.51953,9,1860,40508,0.95600,Port Adelaide Enfield,Adelaide - West,Australia/Adelaide
89,Alberton,,TAS,Tasmania,7263,Rural locality,-41.29309,147.78932,310,14,18200,32.91700,Dorset,Launceston and North East,Australia/Hobart
90,Alberton,,VIC,Victoria,3971,Rural locality,-38.61139,146.66598,12,297,25376,45.10300,Wellington,Latrobe - Gippsland,Australia/Melbourne
91,Alberton West,,VIC,Victoria,3971,Rural locality,-38.59869,146.58795,21,76,27300,25.08300,Wellington,Latrobe - Gippsland,Australia/Melbourne
92,Albert Park,Adelaide,SA,South Australia,5014,Suburb,-34.87831,138.52135,10,1780,39104,0.90600,Charles Sturt,Adelaide - West,Australia/Adelaide
93,Albert Park,Melbourne,VIC,Victoria,3206,Suburb,-37.84071,144.95571,10,6044,69316,2.83900,Port Phillip,Melbourne - Inner,Australia/Melbourne
94,Albinia,,QLD,Queensland,4722,Rural locality,-24.43965,148.39740,237,165,97500,1068.01800,Central Highlands,Central Queensland,Australia/Brisbane
95,Albion,Brisbane,QLD,Queensland,4010,Suburb,-27.42803,153.04521,35,3446,60736,1.31500,Brisbane,Brisbane Inner City,Australia/Brisbane
96,Albion,,QLD,Queensland,4822,Rural locality,-21.50903,142.69317,196,34,43316,5538.56500,Richmond,Queensland - Outback,Australia/Brisbane
97,Albion,Melbourne,VIC,Victoria,3020,Suburb,-37.77595,144.81940,44,4334,36816,2.51900,Brimbank,Melbourne - West,Australia/Melbourne
98,Albion Park,Wollongong,NSW,New South Wales,2527,Suburb,-34.57072,150.77503,12,13826,41808,9.09800,Shellharbour,Illawarra,Australia/Sydney
99,Albion Park Rail,Wollongong,NSW,New South Wales,2527,Suburb,-34.56084,150.79575,6,6920,33072,7.16300,Shellharbour,Illawarra,Australia/Sydney
100,Albury,,NSW,New South Wales,2640,Major urban locality,-36.08214,146.91017,157,4955,48360,5.68300,Albury,Murray,Australia/Sydney
101,Alcomie,,TAS,Tasmania,7330,Rural locality,-40.93487,145.18523,215,58,18200,32.33000,Circular Head,West and North West,Australia/Hobart
102,Aldavilla,Kempsey,NSW,New South Wales,2440,Suburb,-31.05895,152.76814,13,1443,32448,15.07600,Kempsey,Mid North Coast,Australia/Sydney
103,Alderley,Brisbane,QLD,Queensland,4051,Suburb,-27.42442,153.00052,39,6748,61880,2.57000,Brisbane,Brisbane Inner City,Australia/Brisbane
104,Aldershot,,QLD,Queensland,4650,Rural locality,-25.47455,152.66010,19,1311,25740,10.24100,Fraser Coast,Wide Bay,Australia/Brisbane
105,Aldersyde,,WA,Western Australia,6306,Rural locality,-32.37423,117.30582,238,41,68224,389.84100,Brookton,Western Australia - Wheat Belt,Australia/Perth
106,Aldgate,Crafers - Bridgewater,SA,South Australia,5154,Suburb,-35.01512,138.73619,421,3471,51740,8.40600,Adelaide Hills,Adelaide - Central and Hills,Australia/Adelaide
107,Aldinga,,SA,South Australia,5173,Urban locality,-35.26733,138.48314,33,764,32604,13.33200,Onkaparinga,Adelaide - South,Australia/Adelaide
108,Aldinga Beach,Adelaide,SA,South Australia,5173,Suburb,-35.27888,138.46180,24,10667,34216,13.66800,Onkaparinga,Adelaide - South,Australia/Adelaide
109,Aldoga,,QLD,Queensland,4694,Rural locality,-23.83529,151.07133,58,0,0,82.07400,Gladstone,Central Queensland,Australia/Brisbane
110,Alectown,,NSW,New South Wales,2870,Rural locality,-32.91427,148.26801,377,151,38116,277.14400,Parkes,Central West,Australia/Sydney
111,Alexander Heights,Perth,WA,Western Australia,6064,Suburb,-31.82761,115.86713,69,7772,36556,3.18200,Wanneroo,Perth - North West,Australia/Perth
112,Alexandra,,QLD,Queensland,4740,Rural locality,-21.16447,149.09961,20,189,53456,7.47400,Mackay,Mackay - Isaac - Whitsunday,Australia/Brisbane
113,Alexandra,,VIC,Victoria,3714,Urban locality,-37.19131,145.71106,222,2801,32708,79.44000,Murrindindi,Hume,Australia/Melbourne
114,Alexandra Bridge,,WA,Western Australia,6288,Rural locality,-34.16062,115.19957,23,3,23400,6.60100,Augusta Margaret River,Bunbury,Australia/Perth
115,Alexandra Headland,Sunshine Coast,QLD,Queensland,4572,Suburb,-26.67064,153.10804,8,4235,46852,1.50400,Sunshine Coast,Sunshine Coast,Australia/Brisbane
116,Alexandra Hills,Brisbane,QLD,Queensland,4161,Suburb,-27.52277,153.22046,45,16472,42848,13.69000,Redland,Brisbane - East,Australia/Brisbane
117,Alexandria,Sydney,NSW,New South Wales,2015,Suburb,-33.90987,151.19282,6,9649,84708,3.53700,Sydney,Sydney - City and Inner South,Australia/Sydney
118,Alford,,SA,South Australia,5555,Rural locality,-33.81518,137.82127,67,159,41080,219.07800,Barunga West,Barossa - Yorke - Mid North,Australia/Adelaide
119,Alfords Point,Sydney,NSW,New South Wales,2234,Suburb,-33.99330,151.02475,100,3131,49712,2.56700,Sutherland Shire,Sydney - Sutherland,Australia/Sydney
120,Alfred Cove,Perth,WA,Western Australia,6156,Suburb,-32.03424,115.80861,13,2830,51636,1.08300,Melville,Perth - South West,Australia/Perth
121,Alfredton,Ballarat,VIC,Victoria,3350,Suburb,-37.55696,143.81723,459,11822,43732,8.01000,Ballarat,Ballarat,Australia/Melbourne
122,Alfredtown,,NSW,New South Wales,2650,Rural locality,-35.16147,147.51238,198,80,42328,75.07900,Wagga Wagga,Riverina,Australia/Sydney
123,Algester,Brisbane,QLD,Queensland,4115,Suburb,-27.61130,153.03352,33,9020,39104,3.69000,Brisbane,Brisbane - South,Australia/Brisbane
124,Alice,,NSW,New South Wales,2469,Rural locality,-29.05024,152.58745,117,4,17316,13.27500,Clarence Valley,Coffs Harbour - Grafton,Australia/Sydney
125,Alice Creek,,QLD,Queensland,4610,Rural locality,-26.76002,151.63170,575,50,28600,88.11400,South Burnett,Wide Bay,Australia/Brisbane
126,Alice River,,QLD,Queensland,4817,Urban locality,-19.32661,146.59971,50,2685,51792,39.75800,Townsville,Townsville,Australia/Brisbane
127,Alice Springs,,NT,Northern Territory,0870,Major urban locality,-23.70036,133.88089,581,231,49504,1.34200,Alice Springs,Northern Territory - Outback,Australia/Darwin
128,Ali Curung,,NT,Northern Territory,0872,Urban locality,-21.00041,134.39409,378,394,20332,443.15000,Barkly,Northern Territory - Outback,Australia/Darwin
129,Alison,,NSW,New South Wales,2259,Rural locality,-33.26817,151.39865,8,85,34788,1.39600,Central Coast,Central Coast,Australia/Sydney
130,Alison,,NSW,New South Wales,2420,Rural locality,-32.43480,151.77193,90,99,41184,19.27100,Dungog,Hunter Valley exc Newcastle,Australia/Sydney
131,Alkimos,Perth,WA,Western Australia,6038,Suburb,-31.61455,115.68059,40,10203,50804,17.25400,Wanneroo,Perth - North West,Australia/Perth
132,Allambee,,VIC,Victoria,3823,Rural locality,-38.29287,146.02163,359,24,37648,13.53300,Baw Baw,Latrobe - Gippsland,Australia/Melbourne
133,Allambee Reserve,,VIC,Victoria,3871,Rural locality,-38.28526,146.05489,417,96,39988,33.06200,Baw Baw,Latrobe - Gippsland,Australia/Melbourne
134,Allambee South,,VIC,Victoria,3871,Rural locality,-38.34374,146.09959,170,61,36816,9.58300,South Gippsland,Latrobe - Gippsland,Australia/Melbourne
135,Allambie Heights,Sydney,NSW,New South Wales,2100,Suburb,-33.76508,151.24886,126,7317,52312,6.67500,Northern Beaches,Sydney - Northern Beaches,Australia/Sydney
136,Allan,,QLD,Queensland,4370,Rural locality,-28.19557,151.94953,456,91,39416,8.85900,Southern Downs,Darling Downs - Maranoa,Australia/Brisbane
137,Allandale,,NSW,New South Wales,2320,Rural locality,-32.71069,151.42353,55,68,56316,10.48300,Maitland,Hunter Valley exc Newcastle,Australia/Sydney
138,Allandale,,QLD,Queensland,4310,Rural locality,-28.00836,152.75909,217,69,34424,48.77200,Scenic Rim,Ipswich,Australia/Brisbane
139,Allanooka,,WA,Western Australia,6525,Rural locality,-29.04726,115.02908,100,19,58500,323.58400,Irwin,Western Australia - Outback (South),Australia/Perth
140,Allans Flat,,VIC,Victoria,3691,Rural locality,-36.27611,146.90982,206,297,48516,38.33100,Indigo,Hume,Australia/Melbourne
141,Allansford,,VIC,Victoria,3277,Urban locality,-38.38647,142.59067,15,1410,42692,85.63600,Warrnambool,Warrnambool and South West,Australia/Melbourne
142,Allanson,,WA,Western Australia,6225,Urban locality,-33.33753,116.09806,191,591,38220,24.79600,Collie,Bunbury,Australia/Perth
143,Allawah,Sydney,NSW,New South Wales,2218,Suburb,-33.97002,151.11452,55,5351,39780,0.58400,Georges River,Sydney - Inner South West,Australia/Sydney
144,Alleena,,NSW,New South Wales,2671,Rural locality,-34.10946,147.14097,284,60,46800,269.63300,Bland,Central West,Australia/Sydney
145,Allenby Gardens,Adelaide,SA,South Australia,5009,Suburb,-34.90433,138.55515,18,2045,41392,0.82600,Charles Sturt,Adelaide - West,Australia/Adelaide
146,Allendale,,VIC,Victoria,3364,Rural locality,-37.36871,143.93855,479,185,40768,14.23800,Hepburn,Ballarat,Australia/Melbourne
147,Allendale East,,SA,South Australia,5291,Urban locality,-38.00337,140.70894,16,484,36556,50.11700,Grant,South Australia - South East,Australia/Adelaide
148,Allendale North,,SA,South Australia,5373,Rural locality,-34.30398,138.91766,277,162,37700,46.95500,Light,Barossa - Yorke - Mid North,Australia/Adelaide
149,Allens Rivulet,,TAS,Tasmania,7150,Rural locality,-43.01068,147.20406,148,506,45188,11.97200,Kingborough,Hobart,Australia/Hobart
150,Allenstown,Rockhampton,QLD,Queensland,4700,Suburb,-23.38894,150.50287,13,2762,36452,2.22900,Rockhampton,Central Queensland,Australia/Brisbane
151,Allenview,,QLD,Queensland,4285,Rural locality,-27.90126,152.93908,36,209,38272,43.49400,Scenic Rim,Logan - Beaudesert,Australia/Brisbane
152,Allestree,,VIC,Victoria,3305,Rural locality,-38.27035,141.65616,10,168,32448,7.96000,Glenelg,Warrnambool and South West,Australia/Melbourne
153,Allgomera,,NSW,New South Wales,2441,Rural locality,-30.81610,152.83137,51,139,25012,120.38800,Nambucca Valley,Mid North Coast,Australia/Sydney
154,Alligator Creek,,QLD,Queensland,4740,Rural locality,-21.32393,149.21106,16,897,49452,78.03000,Mackay,Mackay - Isaac - Whitsunday,Australia/Brisbane
155,Alligator Creek,,QLD,Queensland,4816,Urban locality,-19.42492,146.94720,26,1550,52936,49.40200,Townsville,Townsville,Australia/Brisbane
156,Allora,,QLD,Queensland,4362,Urban locality,-28.03585,151.98272,473,1205,29588,96.47300,Southern Downs,Darling Downs - Maranoa,Australia/Brisbane
